model,protocol,n_parameters,n_train,n_test,accuracy,balanced_accuracy,f1_macro,train_seconds,device
mlp,readme,61378,121756,30440,0.9999671484888305,0.999896265560166,0.99993836958798,32.671111915959045,mps
cnn1d,readme,6658,121756,30440,1.0,1.0,1.0,50.03794549999293,mps
mlp,clean,59586,121756,30440,0.9093298291721419,0.7307892887105185,0.7848465118908114,33.54698374995496,mps
cnn1d,clean,6658,121756,30440,0.9003285151116951,0.7085139980759326,0.7598313272745737,29.65461474994663,mps
