column,tokens,pure_normal_tokens,pure_attack_tokens,rows_separated,separation_rate,single_column_accuracy,nmi_with_label,provenance_marker
dns.qry.name.len,10,8,2,2219201,1.0,1.0,0.9926945485312938,True
mqtt.conack.flags,13,12,1,2219201,1.0,1.0,0.8879315254087576,True
mqtt.protoname,3,2,1,2219201,1.0,1.0,0.8880816353645736,True
mqtt.topic,3,2,1,2219201,1.0,1.0,0.8880984565043669,True
http.request.version,13,0,12,256140,0.11541991915108185,0.8436714949722987,0.3475889511074591,False
http.request.method,9,0,8,254926,0.11487287541777423,0.8431375199677362,0.3466725641413311,False
http.referer,5,0,4,115936,0.052242225918247155,0.7807120117339318,0.18182195526215283,False
