,accuracy,accuracy,f1_macro,f1_macro,delta,delta
protocol,clean,readme,clean,readme,accuracy,f1_macro
model,,,,,,
DecisionTree,0.9502192781494233,1.0,0.9389652774138479,1.0,0.04978072185057669,0.06103472258615206
GaussianNB,0.5202874834723186,1.0,0.5190285885986721,1.0,0.47971251652768143,0.48097141140132793
HistGradientBoosting,0.9693665152447406,1.0,0.9611884648434821,1.0,0.0306334847552594,0.03881153515651792
LogisticRegression,0.8948093261942477,1.0,0.8562435604872338,1.0,0.10519067380575231,0.14375643951276618
MLP,0.91409794860382,1.0,0.8832262213819106,1.0,0.08590205139618001,0.11677377861808935
RandomForest,0.9595507088902562,1.0,0.9498559103677908,1.0,0.04044929110974382,0.05014408963220918
