,accuracy,accuracy,f1_macro,f1_macro,delta,delta
protocol,clean,readme,clean,readme,accuracy,f1_macro
model,,,,,,
DecisionTree,0.9597568988173456,1.0,0.9245916379558329,1.0,0.040243101182654395,0.07540836204416712
GaussianNB,0.49678055190538767,1.0,0.4798743045565321,1.0,0.5032194480946124,0.5201256954434679
HistGradientBoosting,0.9749014454664915,1.0,0.9496452321417208,1.0,0.02509855453350851,0.05035476785827919
LogisticRegression,0.8995072273324572,1.0,0.7568801661860912,1.0,0.10049277266754275,0.24311983381390878
MLP,0.9095926412614981,0.999934296977661,0.785673447174256,0.9998767287926285,0.09034165571616293,0.21420328161837243
RandomForest,0.9651445466491458,1.0,0.9329024262880825,1.0,0.03485545335085416,0.06709757371191749
