model,lodo_Modbus,lodo_Soil_Moisture,lodo_Temperature_and_Humidity,lodo_Water_Level,lodo_phValue,mean,worst
DecisionTree,0.6793112266643935,0.9997019056744384,0.916086661291007,0.9998683177128848,0.9995104511668917,0.9188957125019229,0.6793112266643935
GaussianNB,0.8067845312747796,0.6153434138719105,0.602194056066582,0.6248418272146515,0.6157797017709313,0.652988706039771,0.602194056066582
HistGradientBoosting,0.7464257980884876,0.9996866501443087,0.9385052837075075,0.999853062182755,0.9995104511668917,0.9367962490579902,0.7464257980884876
LogisticRegression,0.4877316976715712,0.9879704030047206,0.9105989868989097,0.9885029477662791,0.9879772703888597,0.8725562611460681,0.4877316976715712
MLP,0.8163897620840841,0.9996866501443087,0.9120927103485785,0.9998225511224957,0.9993978382837592,0.9454779023966452,0.8163897620840841
RandomForest,0.5083127674326228,0.9996713946141791,0.911806244278893,0.999807295592366,0.9995104511668917,0.8838216306169905,0.5083127674326228
