model,lodo_Modbus,lodo_Soil_Moisture,lodo_Temperature_and_Humidity,lodo_Water_Level,lodo_phValue,mean
DecisionTree,0.6066301913957108,0.9996374221637192,0.9003673586264876,0.9998449685548605,0.9994068291222413,0.901177353972604
GaussianNB,0.7719681180917756,0.5100436445093524,0.48802447797284226,0.5245721734184478,0.509598285991099,0.5608413399967034
HistGradientBoosting,0.6969752573121333,0.9996244712279315,0.9266189932981356,0.9998320484837688,0.9994068291222413,0.9244915198888422
LogisticRegression,0.28738115630324224,0.9896418482847924,0.8944656735140173,0.9901850884097436,0.9896203557160097,0.8302588244455611
MLP,0.7835169343325896,0.9996244712279315,0.8957076778761874,0.9998062079795281,0.9993036558749797,0.9355917894582433
RandomForest,0.30984286380186904,0.9996115201728737,0.8953731886371039,0.9997932875463504,0.9994068291222413,0.8408055378560878
