model,serialized_kib,n_parameters,median_latency_us,p95_latency_us,throughput_per_second,batch_size
DecisionTree,20.8720703125,109,40.104438085108995,52.13774857111273,24934.896179764844,1
GaussianNB,34.5322265625,1636,108.87550888583064,131.02865777909753,9184.80207563138,1
LogisticRegression,25.0693359375,410,108.89547411352396,123.30249301157889,9183.11810606101,1
HistGradientBoosting,388.0869140625,-1,4731.895984150469,6307.610886869952,211.3317797664001,1
RandomForest,3563.587890625,45002,13738.791982177645,14215.122442692518,72.78660316694719,1
